predictions,load demand,estimated errors
46.09021282223013,48.555,2.1787815777523805
44.021856766334054,48.270000000000024,2.7640076193659273
41.88385018180139,46.85800000000001,3.0051620371573606
41.11881209643855,49.132000000000005,3.178573640899702
49.746615701153296,51.23299999999998,3.844132073106319
54.14332445625782,63.78999999999999,5.89370454482824
61.08150840627826,68.78500000000003,8.192127643239715
66.89543367752461,78.36699999999995,8.161503456453433
74.64860410067676,75.23699999999997,10.57179720778095
73.31875680929552,84.86300000000001,11.058492629381115
67.47171574938908,77.26400000000002,10.621175432935136
65.58813602404837,71.14,9.772949317521562
65.94641936140533,71.38000000000005,9.910518116897086
70.70552382861129,78.109,9.965429016479906
80.34206515870756,79.824,11.017250345404092
84.36973393041505,88.87499999999994,12.028484576474197
80.71418756871273,104.589,11.313817567015315
82.15068560697016,105.92999999999996,11.908114241473529
92.2053789010454,103.26100000000005,13.99096115458121
81.08582757258127,96.71000000000002,13.284632683309253
70.49522654173039,86.72000000000003,11.526389693535641
62.495720816102356,68.11500000000002,9.957867849296024
51.799388179618035,55.90099999999998,6.578079287014244
48.25769668092651,49.004,4.853666338102341
51.201383212361904,48.480000000000004,3.607225135396642
46.83673790023396,41.62300000000001,3.8974524803168253
46.4964845652473,46.77800000000003,3.2402154772807163
61.77427885852504,61.65899999999999,3.3215579152414074
68.38627543482353,59.81599999999996,3.474224360443221
69.8572947204403,67.95199999999998,3.2809628340083608
73.59532171784836,70.80500000000002,3.3145380861433376
74.48182492066027,68.95500000000003,3.1475607527135567
82.15006203431567,63.55799999999997,4.183047378522969
89.25386929335897,68.96399999999998,9.500685576148976
90.86215151288317,69.992,9.517985324537488
90.7170724883343,63.155999999999985,9.565150020806895
95.63711432346317,63.689999999999976,11.488913532815888
97.82702524532243,68.495,11.309246787811482
107.25569040467634,78.03999999999995,10.590881976276588
119.99764065938925,82.17800000000001,10.986666083131057
117.69510957400676,91.66800000000002,9.314414897007513
115.06856739342498,96.75800000000004,11.955427556746589
107.10141500849107,108.52000000000001,10.775278945746201
102.52066437264806,102.82499999999999,7.6881170756430235
89.20203980010166,83.28000000000002,5.446793031036431
74.86733484384435,63.17500000000002,5.013932980957187
60.25383723195238,60.85800000000002,3.888716602396778
52.52162835885681,53.942000000000036,3.115451935725781
52.264103264315516,50.37600000000001,2.107254502134333
44.75109246633078,48.28799999999996,2.688355723974062
48.32496532402139,48.97000000000002,2.850455979462083
62.95240243714421,61.72200000000003,2.8382338796677717
62.9427343085948,59.428999999999974,3.7226939795578797
69.63554561093325,61.115,3.700942128421753
72.50799361432448,58.754000000000005,3.341061129902631
71.17316075349618,66.60299999999997,3.065724531082452
68.94458351227108,65.771,5.208994718958763
75.56258849352032,63.038000000000004,7.372191667093732
77.35673924244566,69.06100000000002,7.411225822626728
71.33344652059246,78.59099999999995,7.259283907460458
73.12520173557206,74.98900000000002,8.125326641022774
78.59180045969059,81.57,8.336815747250855
88.39040323838942,83.06199999999994,7.801342319730342
94.37652095940496,90.35800000000002,8.072553815635239
102.51905111232108,98.96600000000011,7.791381662724671
106.9526750560271,107.271,9.154755535237665
113.64851406707359,109.5590000000001,9.87209980781652
105.80029808812131,107.51,6.305161081882091
86.78370174028055,86.72600000000001,4.629764989912786
67.74558022629044,68.86999999999998,4.389242109268202
61.90443580817236,53.55499999999997,4.533607251991873
54.0133667965117,51.11400000000001,3.3824019051265144
48.894241924105685,48.04499999999999,1.4625898562968531
46.257421796207936,47.91000000000001,2.2965964703705493
47.73198590584419,49.57200000000001,2.4110945358738842
61.02314485611641,58.90000000000001,2.4409291634564907
59.59456121955611,63.91599999999999,2.632211704368605
62.99508350853041,65.77900000000002,3.0739871531541434
62.41381105647414,66.87000000000002,3.361483822127763
68.68209744369882,70.72599999999997,3.805239978725865
67.7689362928616,71.733,4.197504870141979
67.17046584522,63.828,5.672517476074339
72.77326423419902,63.02999999999997,6.201066254621683
79.01119203867432,63.33899999999998,7.97073445872132
76.30175694580754,63.78699999999998,7.4234088233415685
82.67555152167085,68.422,7.6089031611796685
85.64258671004484,76.80299999999998,6.789209783575739
92.91876094913407,79.11000000000006,6.924909804073191
101.43140656841824,104.78200000000001,6.529615876770762
108.8325711023753,102.69200000000002,6.9783999487233945
111.70796951125163,102.70700000000004,7.174748254950963
107.764285715538,99.62100000000005,4.901507122717072
87.17819257761396,86.38400000000003,3.4667167258358034
69.03567660650039,69.293,3.1640824188937766
55.867324894570004,55.513000000000005,4.278163945059596
52.13419146615526,46.937999999999995,3.279760020742649
45.518707622499456,46.122000000000014,0.7604860675563359
45.657993957285825,44.712,1.5814684723119208
47.5633853973617,45.792000000000016,1.6784617628818006
58.1734021719663,54.56000000000003,2.046788065520974
62.23694117407978,66.64500000000002,2.920029419968683
64.56567406099566,63.10200000000001,2.726376524705487
65.41577375340896,54.178000000000026,2.8713965681182456
69.74539356293297,69.63799999999998,2.89303622585975
70.37152078288607,62.17599999999997,3.202273345569885
64.11044463647846,66.83899999999997,4.389231230649757
64.8286280468295,70.52599999999995,4.895497808384447
66.61520453141785,69.06899999999996,5.824032325972742
66.90323797030605,63.684000000000026,5.518959863787515
72.26354509741282,65.55500000000002,5.684832195623198
79.87809921170432,75.64600000000004,5.2654724199735154
83.19690714973659,85.81599999999999,5.353628549030325
106.13308404944011,89.66600000000004,7.944569860249842
105.71079185356018,96.82099999999997,7.332139933514948
106.51863273583615,108.23199999999994,6.436053312756546
102.80144555700412,106.59900000000003,4.195927790822119
87.85384761189268,91.35499999999998,3.4624221508142696
